gene,GSM8773456,GSM8773457,GSM8773458,GSM8773459,GSM8773460,GSM8773461,GSM8773462,GSM8773463,GSM8773464,GSM8773465,GSM8773466,GSM8773467,GSM8773468,GSM8773469,GSM8773470,GSM8773471,GSM8773472,GSM8773473,GSM8773474,GSM8773475
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_8S_rRNA_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_8S_rRNA_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_8S_rRNA_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_8S_rRNA_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BG,138,174,133,169,159,157,214,160,142,128,179,216,166,139,204,104,149,136,121,193
A1BG-AS1,198,167,166,135,175,364,313,253,269,290,268,281,240,268,280,227,312,236,271,319
A1CF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,11620,8951,8980,9751,10198,14041,10784,9220,9116,11247,8186,6922,8293,7146,8529,12415,8481,7633,9369,10003
A2M-AS1,102,74,54,49,86,100,115,112,114,117,168,162,161,155,107,120,95,105,137,101
A2ML1,0,0,4,2,2,0,2,0,0,0,1,3,0,1,1,1,0,0,1,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1_2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
