"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",157.481629855583,0.249153199432337,0.146652557825256,0.0719782856127649,0.115762515098775
"A1BG-AS1",245.469582654925,-0.474506816540663,0.116628078690964,2.46415319144964e-05,8.50372591249979e-05
"A2M",9492.8463318852,0.178967726537301,0.11938333563827,0.117100274707841,0.176147012262169
"A2M-AS1",109.537782548741,-0.253478635918811,0.17771565645657,0.12006818882163,0.179929656326052
"A4GALT",2918.23173915606,-0.122849437006989,0.0877168796075236,0.153068284341719,0.221573598763039
"AAAS",1054.60260192451,-0.0800885405459693,0.0610843074796014,0.187644645116632,0.263690797029432
"AACS",1150.82649711132,0.052841849455037,0.0622124311693048,0.418980145745389,0.514063404539751
"AACSP1",23.2362175848125,0.0687901935228468,0.287675100736891,0.760607587650511,0.817281860660652
"AADAC",13.2103122837452,0.294648030968723,0.342672808706414,0.23135270578834,0.314674469752712
"AADAT",139.67727659535,-0.447981433202777,0.167637613885318,0.00398274644543906,0.00893340151246034
"AAGAB",1013.92012857952,-0.447315340220951,0.0787829641120592,8.32251947166094e-09,4.72549834407867e-08
"AAK1",2279.09914560469,0.221892959008406,0.112359516697542,0.0438329079339638,0.0751599340782375
"AAMDC",406.921660632948,-0.688965102816794,0.117204396929824,1.31438128432277e-09,8.27031562900832e-09
"AAMP",1984.17053488485,-0.281210887324456,0.0937661994585425,0.00209573065040098,0.00501943167824092
"AAR2",1062.11709272683,-0.286938001091568,0.0808052064245082,0.000300510552698722,0.000856504789399697
"AARD",38.9378796812724,-2.19413273547767,0.349790192875868,2.90167077098008e-11,2.22798065564642e-10
"AARS1",3100.33004923054,0.0374321362495335,0.0544787348652421,0.467756352709945,0.560378305994894
"AARS2",530.490279929474,-0.140871225098941,0.088784412163535,0.107466153542415,0.163476515101101
"AARSD1",496.089478955764,-0.547963002940608,0.112195341042069,4.57103123638718e-07,2.03870697895079e-06
"AASDH",228.586723954759,0.304289344425704,0.110236367537384,0.00435033350058726,0.00966918946131263
"AASDHPPT",1428.4243885444,-0.201996765953627,0.0960290632940739,0.0311974424651846,0.05566246515388
"AASS",1163.7816920952,0.643312989203501,0.13890259093261,1.25437191056145e-06,5.25998791424586e-06
"AATF",703.929786475546,0.291744103812601,0.0842142993729631,0.00040658048122867,0.00113102274418371
"AATK",548.520954278672,0.686130809332559,0.148636574080145,1.22311631329653e-06,5.13606641307665e-06
"ABALON",41.3313257307145,0.327981948736258,0.26615272446034,0.135220087907638,0.199505047732581
"ABAT",1595.22530915075,-0.802347976310387,0.123037856685998,1.7035446458138e-11,1.33871080116297e-10
"ABCA1",705.181304994656,0.317866291315957,0.122758776283468,0.00699344172843168,0.0148184933715936
"ABCA11P",55.3585959307254,-0.410799155696393,0.218187605465642,0.0328703326423254,0.0582279981883731
"ABCA13",27.3314654025789,0.222965701844998,0.256936288733346,0.299786817132574,0.390322694827139
"ABCA17P",13.3102008442164,2.5079544788388,0.551797020490434,3.91903140819728e-07,1.76928570437457e-06
"ABCA2",3375.93488843804,0.846165118367009,0.117026282895643,1.03396032538856e-13,1.02433418873379e-12
"ABCA3",1773.41490721469,-0.163477714038766,0.0910468851007019,0.0665193691195634,0.108201373318979
"ABCA5",341.245428387196,0.576286934570922,0.129150677699525,3.31889129696735e-06,1.31721683988897e-05
"ABCA7",2039.0437617845,0.817587553068429,0.112098700378133,6.48846363530713e-14,6.56834399343626e-13
"ABCA8",347.456848421387,-0.449968385185233,0.147754860211929,0.0012551260190889,0.00316405095949251
"ABCB1",10.6337068293037,-0.380363173824048,0.393276400839364,0.148117307395718,0.215545176638126
