"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",157.481629855583,0.365896190555397,0.151801781281757,2.41035505292433,0.0159370025674224,0.0380443885516852
"A1BG-AS1",245.469582654925,-0.0282409263072006,0.113992583129917,-0.247743542007592,0.804332840160525,0.866341702978003
"A2M",9492.8463318852,-0.304037977092641,0.12285797604189,-2.47471093768446,0.0133344051713719,0.0326280792033164
"A2M-AS1",109.537782548741,0.428314508132532,0.178944400190055,2.39356195375559,0.0166856631195361,0.0395445625353606
"A4GALT",2918.23173915606,-0.0297511370971343,0.0885516770014164,-0.335974857897479,0.736889826040545,0.814215548074363
"AAAS",1054.60260192451,0.0739277679548583,0.0617116408382887,1.19795498791842,0.230934540864131,0.345261414988465
"AACS",1150.82649711132,0.464269787475876,0.0624301587165674,7.43662673650499,1.03288869519999e-13,1.71107660221318e-12
"AACSP1",23.2362175848125,1.44077098499322,0.369946865962929,3.89453491177189,9.83873214819933e-05,0.000426714611750002
"AADAC",13.2103122837452,-0.723459246850777,0.488995713893111,-1.47947973018209,0.13901214485187,0.230349675731478
"AADAT",139.67727659535,-0.367590176968917,0.168189896917622,-2.18556633725127,0.028847347679728,0.0627221778276779
"AAGAB",1013.92012857952,-0.252093977878445,0.0780876415960568,-3.22834667209587,0.00124507985173107,0.00411538361370639
"AAK1",2279.09914560469,0.186692091132682,0.11463421677111,1.62858958163817,0.103399931240958,0.181433475458142
"AAMDC",406.921660632948,-0.137004422384843,0.115293157307715,-1.1883135615688,0.23470989673386,0.349572042805494
"AAMP",1984.17053488485,-0.188069612726637,0.0946100866989684,-1.98783892171074,0.0468295075825395,0.0943054427438651
"AAR2",1062.11709272683,-0.253125564620745,0.0806564538483542,-3.13831754984737,0.00169920682256447,0.00540412296416865
"AARD",38.9378796812724,-2.0797002699539,0.295852973585384,-7.02950605752047,2.07265955543125e-12,2.96867865065331e-11
"AARS1",3100.33004923054,0.00869767607702387,0.0546867853626054,0.159045298043269,0.873633185335748,0.914002910342009
"AARS2",530.490279929474,-0.100993104344795,0.0896983688059811,-1.12591907399392,0.260199774971941,0.378103777752623
"AARSD1",496.089478955764,-0.618010543887553,0.111806824244718,-5.52748499979641,3.24853992635149e-08,2.64950799223167e-07
"AASDH",228.586723954759,0.105111323905558,0.111315699422598,0.944263248138199,0.34503514164982,0.470077249016813
"AASDHPPT",1428.4243885444,-0.083403590826448,0.096971212833972,-0.860086085230741,0.38974159093939,0.514892673635694
"AASS",1163.7816920952,0.643444830152492,0.138393946687304,4.64937120122988,3.32948521454539e-06,1.92613967160621e-05
"AATF",703.929786475546,0.140304936642588,0.0851778551052356,1.64719969138979,0.0995170072446916,0.17584124448686
"AATK",548.520954278672,0.90368383653867,0.147628281596294,6.12134630822227,9.27879910953685e-10,9.6412105624079e-09
"ABALON",41.3313257307145,-0.52439363535838,0.304521533439796,-1.72202480867269,0.0850650245149763,0.154795925306903
"ABAT",1595.22530915075,-0.81458439722771,0.122317153659132,-6.65960883538669,2.74557326890434e-11,3.46839528173739e-10
"ABCA1",705.181304994656,-0.657728525483866,0.125680165172953,-5.23335185451691,1.66463431758927e-07,1.2113127435716e-06
"ABCA11P",55.3585959307254,-0.655799135262343,0.21784710759071,-3.0103642068751,0.00260934595970113,0.00789085062036
"ABCA13",27.3314654025789,0.853864810912337,0.283009394051931,3.01708999368288,0.0025521403160246,0.00773855486370853
"ABCA17P",13.3102008442164,0.777989397544609,0.479925557570008,1.62106265289096,0.105004202570045,0.18365329444959
"ABCA2",3375.93488843804,0.676863230200254,0.116717841202462,5.79914110154034,6.66554303253187e-09,6.09295975030326e-08
"ABCA3",1773.41490721469,-0.262611319238913,0.0934225427245923,-2.81100590478559,0.00493868795405755,0.0138106144827487
"ABCA5",341.245428387196,0.582908976653828,0.128954201294614,4.52027906653536,6.17581667755721e-06,3.40611352734787e-05
"ABCA7",2039.0437617845,1.03796375372167,0.112048394215531,9.263530825128,1.97781314685386e-20,6.28798590976914e-19
"ABCA8",347.456848421387,-0.386334430754947,0.146588384736684,-2.63550506712328,0.00840121714232625,0.0218390599374453
"ABCB1",10.6337068293037,-1.09177206494841,0.463982452990951,-2.35304602126776,0.0186203293829121,0.0433515776752742
"ABCB10",701.55943298717,-0.465216943222766,0.07502197448067,-6.20107570406099,5.6078528739655e-10,5.98855126859716e-09
"ABCB10P3",7.58660690598931,-1.64489957338605,0.625884763785786,-2.62811889434176,0.00858585012113741,0.0222646256725023
"ABCB10P4",4.78961909509124,-0.376320234171861,1.09628033198102,-0.343270077181661,0.731395289641947,0.809906105981868
"ABCB11",22.0038447107576,0.0114898112135789,0.341605684179804,0.033634719050902,0.973168436123697,0.982784402918421
"ABCB4",287.565398649364,-0.818338451521755,0.138013377603974,-5.92941398673656,3.04017712379747e-09,2.92847732531929e-08
"ABCB6",1068.19688753366,1.76751226793504,0.121877640990969,14.5023505014018,1.17071278353502e-47,2.18331899527304e-45
"ABCB7",670.823815186417,0.0663998437626502,0.0792764742785292,0.837573118216151,0.402270495672974,0.527056802109371
"ABCB8",924.803520640731,0.00552480007107323,0.0899024120854951,0.0614533018960523,0.950998203761301,0.967853675991278
"ABCB9",412.572906634519,0.483489131606822,0.10284408593924,4.70118555861797,2.58655331062135e-06,1.53240346217645e-05
"ABCC1",2421.6485681027,0.66672464661289,0.0874165400012907,7.62698508317814,2.40307385185564e-14,4.22875544553196e-13
"ABCC10",455.639980661094,-0.160260175117879,0.141515160443408,-1.13245941011364,0.257441339877852,0.375089709921902
"ABCC3",59.3926169339162,-0.457164586697105,0.277850979268752,-1.64535891829595,0.0998958162128047,0.176391927629389
"ABCC4",392.56238231358,-0.599065964891627,0.11997783193082,-4.99313877614534,5.94058393603731e-07,3.95528757463801e-06
"ABCC5",2511.38680754218,0.100676525654155,0.0989859667535124,1.01707877344727,0.309115957184116,0.431907597548518
"ABCC6",342.341096094602,-0.615932325988667,0.138630227455713,-4.44298719906115,8.87184460712599e-06,4.77227680472522e-05
"ABCC6P1",52.0937815576519,-0.177263096609306,0.193376910487696,-0.916671469009664,0.359314821068382,0.484821743352505
"ABCC6P2_2",32.3131711285249,-0.514037773033596,0.254805299823599,-2.01737473039008,0.0436564222833982,0.088965267444708
"ABCC8",12.5867098241896,0.663789034770145,0.436303736621091,1.52139204653801,0.128161483583007,0.215749231157324
"ABCC9",239.255095417015,0.833747709503266,0.175236706537988,4.75783713341204,1.95678274023851e-06,1.1854721959449e-05
"ABCD1",1454.17094604137,-0.368958110524801,0.08951205418198,-4.12188183922918,3.75789951406831e-05,0.00017851996378544
"ABCD3",1741.24591458933,0.471862958609751,0.0994164101123988,4.7463286803081,2.07142014499117e-06,1.24865013071943e-05
"ABCD4",738.651052339834,0.0658401381066571,0.0802983724517446,0.819943618984604,0.412248249193238,0.536538044722284
"ABCE1",1442.79790224097,-0.629116223208586,0.109584340785451,-5.74093176725221,9.41570264430743e-09,8.41136102891464e-08
