"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",157.481629855583,-0.0333972149919968,0.150827965253811,-0.221425880378327,0.824760842879908,0.888196430985685
"A1BG-AS1",245.469582654925,0.410100834471007,0.118030626859224,3.47452898780362,0.000511751067158589,0.0024407004494856
"A2M",9492.8463318852,-0.595149040747627,0.122852699394313,-4.84441158950371,1.26987446868361e-06,1.22191644353652e-05
"A2M-AS1",109.537782548741,0.78868113016839,0.184347582395979,4.2782287671899,1.88386357622328e-05,0.000135611190186546
"A4GALT",2918.23173915606,0.53358615510523,0.0890477151034515,5.99213752408285,2.07100670802712e-09,3.5885547268401e-08
"AAAS",1054.60260192451,-0.0487719081445235,0.0620136146940705,-0.786470977141522,0.431591615664011,0.576239813191893
"AACS",1150.82649711132,0.209788272203111,0.0624178571930122,3.36102970588034,0.000776524734403264,0.00348742116319639
"AACSP1",23.2362175848125,0.666828023159012,0.35730938283976,1.86624828561544,0.0620066363679988,0.134412109573263
"AADAC",13.2103122837452,-2.00655026509619,0.46566691373632,-4.30898181920733,1.64007848353449e-05,0.000120068878053982
"AADAT",139.67727659535,0.101764668527339,0.172955395018009,0.588386783290238,0.556272706975498,0.685212160908834
"AAGAB",1013.92012857952,0.221320532845509,0.0795325934883319,2.78276519271283,0.00538977975399771,0.018146494649138
"AAK1",2279.09914560469,0.00721489058905056,0.114673523287648,0.0629167952828368,0.949832760639573,0.970234159496666
"AAMDC",406.921660632948,0.386919192277136,0.11809043039069,3.27646525630445,0.00105115244741424,0.00451028173001033
"AAMP",1984.17053488485,0.129499668616971,0.095078493684127,1.36202903095204,0.173188723437827,0.296740292384001
"AAR2",1062.11709272683,0.154072005625873,0.0818323008940283,1.88277738671181,0.0597305428434547,0.130372287649384
"AARD",38.9378796812724,0.973606047595245,0.363210556410407,2.68055548059327,0.00735000793847755,0.023524706936847
"AARS1",3100.33004923054,-0.00115429766511571,0.0548984041703397,-0.0210260695654128,0.983224859764448,0.989955903219172
"AARS2",530.490279929474,0.00648221163084002,0.0908382304058748,0.0713599505613089,0.943111283137108,0.967170244441626
"AARSD1",496.089478955764,-0.0196446862319207,0.114156477058372,-0.172085603358939,0.863370230777067,0.914273786893497
"AASDH",228.586723954759,-0.141322068255464,0.111335478323861,-1.26933543900872,0.204321451783678,0.336444116399666
"AASDHPPT",1428.4243885444,0.28236227660966,0.0976632363909172,2.891182875401,0.00383794716983048,0.0136027208941607
"AASS",1163.7816920952,0.1924133341166,0.138197744482772,1.39230444633333,0.163830225662584,0.284860513479061
"AATF",703.929786475546,-0.201588874169389,0.0849477659854945,-2.37309212114903,0.017639863768873,0.0486737546642635
"AATK",548.520954278672,0.255951824809654,0.146818331037943,1.74332335070276,0.0812771487529666,0.166017840296552
"ABALON",41.3313257307145,-1.13055613887345,0.300706659635879,-3.75966445253466,0.000170141405473265,0.000932119329197871
"ABAT",1595.22530915075,0.0437653060897571,0.12323176919685,0.355146293646458,0.722479996857025,0.817620465633005
"ABCA1",705.181304994656,-0.753513126486699,0.125903276992873,-5.98485714179907,2.16579867743885e-09,3.74563079109645e-08
"ABCA11P",55.3585959307254,0.145881666191237,0.230860776342167,0.631903212415003,0.52745012411419,0.661644320451126
"ABCA13",27.3314654025789,0.468621127239184,0.280020783336918,1.67352266376365,0.0942244487466368,0.186164294214358
"ABCA17P",13.3102008442164,-0.570085211175499,0.455683599383188,-1.25105492483637,0.210914439260479,0.344229719074527
"ABCA2",3375.93488843804,-0.260871155485817,0.116448039213606,-2.24023656600426,0.0250755689497966,0.0647522555044804
"ABCA3",1773.41490721469,-0.616083074270283,0.093325224245937,-6.60146363695562,4.07118134075797e-11,9.40583275278564e-10
"ABCA5",341.245428387196,0.00220754293489353,0.127783667841457,0.0172756266288463,0.98621672983463,0.991974458866192
"ABCA7",2039.0437617845,-0.134129028406509,0.111363929219868,-1.20442076124752,0.228426991601891,0.364781451101537
"ABCA8",347.456848421387,0.426781318044069,0.149900131694713,2.84710435687445,0.0044118897011334,0.01529827193665
"ABCB1",10.6337068293037,-0.314000282681183,0.494336384690324,-0.635195572095886,0.525300870777202,0.659542806243724
"ABCB10",701.55943298717,0.437154779661533,0.0784602519600632,5.5716718815031,2.5230627257132e-08,3.52994622646185e-07
"ABCB10P3",7.58660690598931,0.133891535107582,0.686475521243761,0.195041965757201,0.845360094523689,0.903068625837577
"ABCB10P4",4.78961909509124,0.209530079250403,1.14096728028787,0.18364249603857,0.854293923012731,0.90921219638773
"ABCB11",22.0038447107576,-0.0881313918423513,0.344952657922989,-0.255488368673555,0.798345926053084,0.869990524490831
"ABCB4",287.565398649364,-0.173363694207239,0.141064207133835,-1.22897011034671,0.219083012798588,0.354174414792356
"ABCB6",1068.19688753366,-0.265785445080552,0.119197620112537,-2.2297881856166,0.0257615080983274,0.066234462975944
"ABCB7",670.823815186417,-0.149806757607701,0.0793650858881843,-1.88756499071595,0.0590843737407646,0.129148902968878
"ABCB8",924.803520640731,0.151386112382309,0.0906568231185753,1.66988106548034,0.0949428972495844,0.187154517951943
"ABCB9",412.572906634519,-0.101914452888219,0.101594747851764,-1.00314686578997,0.315790005247686,0.461068700155823
"ABCC1",2421.6485681027,-0.251955192735796,0.0869308686779075,-2.8983397562646,0.00375143955951594,0.0133368306551578
"ABCC10",455.639980661094,-0.13790688570286,0.142187342730006,-0.969895653544398,0.33209850680363,0.478088650969097
"ABCC3",59.3926169339162,-2.37775671995644,0.258318991624221,-9.2047305736443,3.42529436870567e-20,2.97901803509065e-18
"ABCC4",392.56238231358,-0.524952205667645,0.120971646347739,-4.33946483755909,1.42830117410376e-05,0.000106329087405502
"ABCC5",2511.38680754218,-0.0281334029772314,0.0990587608344431,-0.284007216931077,0.776404849970112,0.854848675347494
"ABCC6",342.341096094602,0.700319122343262,0.144283581140514,4.85376864649097,1.21137049569728e-06,1.17249160111483e-05
"ABCC6P1",52.0937815576519,1.08192283561713,0.221087754951892,4.89363527099253,9.89902187954363e-07,9.72695849000241e-06
"ABCC6P2_2",32.3131711285249,0.600095241822223,0.283187392757348,2.11907470872625,0.0340841537301553,0.083142171113607
"ABCC8",12.5867098241896,0.624417555315305,0.442897367329302,1.40984706926704,0.158584844704884,0.277446793105547
"ABCC9",239.255095417015,0.493391209090855,0.174898674719268,2.82101170796636,0.00478724556564798,0.0164048630957704
"ABCD1",1454.17094604137,-0.139349599541937,0.0900447068230318,-1.54756014493784,0.121728233275463,0.226433289455335
"ABCD3",1741.24591458933,0.128593335172511,0.0993307546534903,1.29459738447675,0.195459155132165,0.325511956346079
"ABCD4",738.651052339834,0.0876712219855987,0.0810071111736031,1.08226575069087,0.279134459857098,0.421339353365081
"ABCE1",1442.79790224097,0.102443254101583,0.110534993281424,0.926794773857367,0.35403309892504,0.500270173375565
"ABCF1",1981.72157771856,0.137826983085105,0.0543104128551385,2.53776349394967,0.0111563349644863,0.0332046889614278
"ABCF2",852.289499266195,0.339898816951911,0.092572901418582,3.67168806144476,0.000240953673954415,0.00126932206227005
"ABCF2-H2BK1",316.221997846461,-0.0999013832138943,0.15926830573301,-0.627252124985646,0.53049398010851,0.664310958061951
"ABCF3",1314.88113189065,0.126778066023304,0.0784039646932327,1.61698539760512,0.105881432986239,0.203203386666779
"ABCG1",94.2418361590822,-1.83254800541018,0.197436589654004,-9.28170410875519,1.66789293046066e-20,1.48631443901642e-18
"ABCG2",9.88562608868415,-1.20327570597423,0.420643807656056,-2.86055727927914,0.00422897151319624,0.0147601957695775
"ABCG4",58.7344642177286,0.352920829208049,0.210768604603539,1.6744468649489,0.0940428088755089,0.18588662724628
"ABHD1",10.2423201067197,-0.255967754864881,0.435277000752582,-0.588057155379954,0.556493929827933,0.685387744457197
"ABHD10",659.781220821676,-0.518094243050137,0.0907181631210353,-5.71103101325917,1.12293778035117e-08,1.7013353807833e-07
"ABHD11",373.721055289843,0.179173083101504,0.0948616807706474,1.8887825057064,0.0589209778683577,0.128875660379211
"ABHD12",1391.99484845614,-0.0658032714283193,0.0590612640131807,-1.1141527789455,0.265213649471942,0.406138569283622
"ABHD13",586.5417187613,0.469361869709106,0.10419121862046,4.50481217058092,6.64316750686734e-06,5.34585854978782e-05
"ABHD14A",360.138813900273,0.0946149468988505,0.138906523531592,0.681141133571971,0.495782191738797,0.633875174821884
"ABHD14A-ACY1",20.6045578976897,0.0989674459147216,0.430879005419051,0.229687324446154,0.81833474522996,0.884384946773189
"ABHD14B",278.565259216478,-0.381288689320565,0.0951581164328071,-4.00689613891002,6.15218999770126e-05,0.000384299437356408
"ABHD15",293.533827726479,0.672836406545399,0.0951913296628565,7.06825305338642,1.56896248875137e-12,4.56310794558076e-11
"ABHD16A",845.426384235781,0.264572206843789,0.0835729007818556,3.16576550973602,0.00154675428273628,0.00628216995390646
"ABHD16B",10.9017755726668,1.02705293087813,0.554951288416647,1.85070825550916,0.0642115357587919,0.138185424919884
"ABHD17A",2439.91837209312,0.373333209188089,0.103990248891874,3.59007900419847,0.000330577750926315,0.00167090011574659
"ABHD17B",390.484629115983,0.419154407831962,0.108799310660498,3.85254653993083,0.000116895749742385,0.00067733635901337
"ABHD17C",101.732404482913,0.000580408084708496,0.190267501027869,0.00305048461546505,0.997566069197161,0.998173029026862
"ABHD18",991.593693575199,-0.275558075202234,0.0652203999352127,-4.22502890929773,2.38910106373522e-05,0.000167774993179232
"ABHD2",2038.26151514702,-0.399443988311556,0.126111889392334,-3.16737771701196,0.00153820385566481,0.00625165305526319
"ABHD3",109.20585723513,0.722108483846466,0.161314782323582,4.47639375291712,7.59144197567782e-06,6.00740093350883e-05
"ABHD4",981.398592428688,-0.366395566546071,0.0750328245955121,-4.88313706062967,1.04411241028724e-06,1.02373948520846e-05
"ABHD5",451.805828233726,-0.467553085852908,0.112199766041397,-4.16714849191753,3.08433594129626e-05,0.000208659824899212
"ABHD6",199.795471666908,-0.369596720062698,0.159132338950134,-2.3225745470788,0.0202020193882814,0.0542217404649867
"ABHD8",512.869875158031,0.164417827031915,0.122509588670992,1.34208129188541,0.179569639068864,0.305330836615824
"ABI1",977.172506853333,-0.258205627420832,0.0730981950640359,-3.53231194278651,0.000411943106455417,0.00202887307263231
"ABI2",2855.39346948787,0.171803856419864,0.075113502993815,2.28725661262277,0.0221808493491538,0.0585548894132257
"ABI3",4.6322842470159,-0.429148282930519,0.889672932532422,-0.482366347494651,0.629545722826803,0.746981642787411
"ABI3BP",7.35476686650129,-1.21919218251771,0.539085879805575,-2.26159175780568,0.023722637718531,0.0619432038580003
"ABITRAM",283.050953886332,0.0629855259354984,0.0919328877436755,0.685125067659277,0.493265003064564,0.631728418084104
"ABL1",2587.74928825557,-0.278588184874063,0.0822441187661189,-3.38733260266665,0.000705757711603853,0.00321428927565803
"ABL2",603.994132926114,-0.114090359785138,0.125488329233489,-0.90917107974923,0.363259827366913,0.509906595155843
"ABLIM1",10694.8020998186,-0.452281087842772,0.101772775818887,-4.44402822074581,8.82900160641288e-06,6.89622793868778e-05
"ABLIM2",103.954167465943,-0.772749264212237,0.168740253674862,-4.57951939376132,4.66045576133015e-06,3.90856025602515e-05
"ABLIM3",331.069408133909,0.116731227282044,0.137681770425635,0.847833572456077,0.396530663203246,0.54379802117707
"ABO",12.3681698528548,-0.690921987867773,0.449030610368364,-1.5386968547667,0.12387832054497,0.229333788772028
"ABR",3363.08312628446,-0.144112494262363,0.0773289861386995,-1.86362839419463,0.0623739073711208,0.13500167316865
"ABRA",142.7685723213,0.0963237428729257,0.407611866281739,0.236312410999211,0.813190257050959,0.880551968644983
"ABRACL",150.371987451486,-0.0107806107597802,0.138725747617286,-0.0777116789416878,0.938057403751272,0.96405378681817
"ABRAXAS1",222.965813254623,0.0161289328286096,0.138833492735592,0.116174652893931,0.90751412477048,0.944533140618951
"ABRAXAS2",501.558873924059,-0.0203160087073533,0.0873351720751606,-0.232621156226375,0.816055597637922,0.882868594059566
"ABT1",551.887900482493,-0.153507852349407,0.0924413977431039,-1.66059640050022,0.0967945323914201,0.190120856781845
"ABTB1",268.428526655864,0.163196598866288,0.125486909463954,1.30050695776492,0.193427273144902,0.323093201402704
"ABTB2",2080.31410901583,-0.236153821408676,0.0822968278799638,-2.8695373502503,0.00411072779832375,0.0144002838636089
"ABTB3",210.090229669588,0.310923438129782,0.150364903026334,2.06779262894433,0.038659527121774,0.0918067606550532
"ACAA1",1567.36971885839,-0.00855532406929434,0.083707682437508,-0.102204765681828,0.918594145099941,0.951848326547023
"ACAA2",3394.73139525873,0.581573645951185,0.0606593489837918,9.58753523890574,9.02143190071177e-22,9.77231754993269e-20
"ACAA2P1",11.1100617970515,-0.431812110365,0.449248614886859,-0.961187405049094,0.336457948031261,0.482177317585797
"ACACA",1418.96093955854,-0.213448319924343,0.106801580966478,-1.99855018992029,0.0456570443284044,0.104814204555944
"ACACB",2261.51051217982,0.017545220808682,0.107826541642251,0.162717087476419,0.870741192438619,0.91911005783724
"ACAD10",888.240580836744,-0.0180514146873932,0.100464213970147,-0.179680046994218,0.857403758682844,0.910824710468768
"ACAD11",899.305631023819,-0.0186929897674121,0.0732265568623618,-0.255276098841406,0.798509858897953,0.870055632725018
"ACAD8",806.418058443938,0.554320348512985,0.0865498332665617,6.40463797088729,1.50726598813295e-10,3.22298365547578e-09
"ACAD9",851.488727259506,0.0197301371717955,0.0758052774727738,0.260273925900235,0.794652483795095,0.867924681108009
"ACAD9-DT",15.5720755534045,-0.676780683524217,0.392858886056342,-1.7227068230987,0.0849415558383016,0.172013068970657
"ACADL",18.1967661209633,0.0851164160406253,0.445083698808018,0.191236875824875,0.84834001398869,0.904969386310615
"ACADM",1852.37111247526,0.344712619706125,0.104663308791243,3.29353833437154,0.000989348497093124,0.00428063006754714
"ACADS",999.54273762422,-0.234856584414262,0.110968022265633,-2.1164348036416,0.0343078446547935,0.0835188951426745
"ACADSB",799.667956616322,-0.298851300000878,0.0960137774728641,-3.11258767092401,0.00185454921899103,0.0073443072179395
"ACADVL",10005.6674657301,0.114335939101369,0.0714743209699163,1.59967856357101,0.109669909731821,0.208944567356361
"ACAP1",30.5478800000363,-0.349302723042936,0.303726281397711,-1.1500576158095,0.250120141690808,0.388951548455835
"ACAP2",803.80346243069,-0.0465462767236341,0.100337987670989,-0.463894859803854,0.642723075724588,0.757104931943596
"ACAP3",1897.67107831714,0.146213547439637,0.0763521407944089,1.91498949365862,0.0554938434975363,0.122799220656934
"ACAT1",1318.76972564046,-0.0653348137798932,0.0622499555213603,-1.04955599136893,0.293922299647461,0.438194692650616
"ACAT2",699.303602018403,0.254268046849408,0.115264551557385,2.20595181618192,0.0273873736003048,0.0695839309592014
"ACBD3",1997.66261930847,-0.591354920765472,0.120602899431273,-4.90332258638991,9.42290487003083e-07,9.30460420845293e-06
"ACBD4",183.827456500793,0.165928420420626,0.13600266341174,1.2200380217429,0.222450461707513,0.357636762556781
"ACBD5",1488.39847533402,-0.333634350453614,0.0785221977351029,-4.24891763191779,2.14805877419131e-05,0.000152480010738294
"ACBD6",1091.48974369365,0.245447323838669,0.0805597256541988,3.04677457433567,0.00231311111021144,0.00886153748067027
"ACBD7",75.4825532587426,1.64747640558752,0.211525450011695,7.78854934711847,6.77828987530451e-15,2.85161078707578e-13
"ACCS",80.1397737393566,-0.270499436514139,0.180784325840458,-1.49625491732538,0.134587238428737,0.244495194132943
"ACD",200.592872771043,0.0692353331055125,0.134315331678079,0.515468578609123,0.60622562109589,0.728388780926185
"ACE",46.9355025220229,0.278561625239172,0.218429827574298,1.27529114650983,0.202206210246262,0.33411676501232
"ACE2",1087.7921971677,-0.0272691888936765,0.133050514272127,-0.204953652699928,0.837608336061205,0.897224940747702
"ACER2",78.9572074737936,-0.252245798062984,0.150124907170175,-1.68023949401713,0.0929107280578316,0.184273113755748
"ACER3",804.84586401309,0.368435375284018,0.103416355000166,3.56264127935496,0.000367142208950063,0.00183257076013603
"ACHE",71.8453568386989,-0.128933472980336,0.180825117453005,-0.713028559286542,0.475828084877313,0.617307089460026
"ACIN1",3503.75553372515,-0.131135082276686,0.0608201984756545,-2.15611072576781,0.0310750201838964,0.0770803668074435
"ACKR2",17.3874894232428,-0.0393253639474858,0.362727249878024,-0.108415797160842,0.913665870673043,0.948806865698929
"ACKR3",598.579502755412,-1.74582266878669,0.152085495367914,-11.4792187418223,1.67789773550698e-30,4.46370147578255e-28
"ACKR4",7.52177737724072,-1.3614007464293,0.646624177262706,-2.10539722191086,0.0352567454276673,0.0852780485073542
"ACLY",3436.36108906958,-0.0686833633915249,0.0823244112561483,-0.834301300714075,0.404111219070998,0.550415678759028
"ACO1",1638.37883243059,-0.152248697230481,0.0544197811173376,-2.7976719880995,0.00514723553668759,0.017476255791794
"ACO2",9228.45159348538,-0.174136507847489,0.0698785101643281,-2.49198941760471,0.012702982211579,0.0370048957708594
"ACOT1",509.28764941012,0.498308631764156,0.117233736455776,4.25055659598577,2.13239943285632e-05,0.000151572124716585
"ACOT11",1455.11719839546,-0.202359987263313,0.100768988140474,-2.00815738053476,0.0446265703370099,0.102892513050791
"ACOT12",10.3501132597616,-0.260888160667769,0.598976425099695,-0.43555664252453,0.663158434145536,0.772687379075792
"ACOT13",938.6923993024,0.0105696508214243,0.0901289070525885,0.117272595076041,0.906644041118405,0.944007753184756
"ACOT2",2157.58782437186,0.218675931192571,0.0873751437570847,2.50272470853406,0.0123241363386876,0.0360925410987305
"ACOT4",37.1329109921282,0.273414558481177,0.248260716651259,1.10132026592533,0.270757293957821,0.412497848045897
"ACOT7",929.630848067776,-0.154608893284991,0.1011362702298,-1.52871855896694,0.126334229419608,0.232632961136066
"ACOT8",410.283733881498,0.256046736316293,0.112030810894382,2.28550283865822,0.0222833601698012,0.0587618054623475
"ACOT9",1720.46806164449,0.172173975673727,0.0590415433538026,2.91614964469993,0.00354380484186075,0.0127046035650537
"ACOX1",1372.893762297,0.1458499563282,0.0640083460463175,2.27860842119964,0.0226903529031462,0.059661116863069
"ACOX2",510.88446392204,0.0730386006509472,0.119688368580261,0.610239754433357,0.541702998804786,0.672989990273922
"ACOX3",746.357305549435,0.151080670875504,0.088255335094711,1.71185878693195,0.0869226952766487,0.175231779311383
"ACOXL",20.3758655645309,0.142188636519697,0.352852282507411,0.402969297829921,0.686970810794598,0.791497482152365
"ACOXL-AS1",7.79991775282088,0.458482164790282,0.68283448138792,0.671439678702776,0.501940474852794,0.639172698801672
"ACP1",1600.15046931842,0.068541277274141,0.0788326155106957,0.869453294554734,0.384599243692437,0.532155447330289
"ACP2",978.663430412451,0.116990926809458,0.0760209428779894,1.53893022607235,0.123821331111894,0.229280647637898
"ACP3",17.1742719943174,-0.90561118649433,0.428884605832136,-2.11154975995754,0.0347250856244473,0.0842850931096541
"ACP6",508.133215977242,0.380976798175593,0.123490434045113,3.08507133464619,0.00203503338122218,0.00795285242305233
"ACRBP",7.24514476651967,-0.455190770960818,0.618273004571148,-0.736229412565976,0.461591095414822,0.60392752373719
"ACSBG1",47.4889797287669,-0.392914839981347,0.255197064466422,-1.53965266333636,0.123645041143738,0.22910685671418
"ACSF2",791.064779309096,-0.108176555692284,0.0879767608373737,-1.22960375743146,0.218845522298324,0.353853727062628
"ACSF3",584.533682502959,-0.0229564393070578,0.121026148646298,-0.18968164784082,0.849558602624828,0.905948781035319
"ACSL1",1997.93316041784,-0.0390602300274031,0.0679388754487139,-0.574931948305343,0.565337321930716,0.693279235194214
"ACSL3",2841.81863579794,0.439626669435028,0.0889886058207496,4.94025797325752,7.80192795895284e-07,7.8365839410026e-06
"ACSL4",3844.17414606635,0.0391555287710737,0.140081598473196,0.279519431515953,0.779846227869769,0.857437443758836
"ACSL5",6.52867563644344,-0.089823806873895,0.707021567242347,-0.127045356231836,0.898904500288849,0.938650566279455
"ACSM3",24.8511942715994,0.0665135585387664,0.308181920872365,0.21582563425683,0.829123665942269,0.891782588288521
"ACSM5",12.430044395314,0.406531122679072,0.518062075500755,0.784715079338943,0.432620639570886,0.577104594571921
"ACSS1",25.2423018414806,0.419355344521695,0.303832212743231,1.38022015748571,0.167518869391286,0.289493346129955
"ACSS2",2040.0495889835,0.0261354871941647,0.0655388078826255,0.398778800508107,0.690056198892572,0.793788416505572
"ACSS3",282.628898488276,-0.479535461238381,0.117558887372458,-4.07910853833692,4.52087273806021e-05,0.000291248532163494
"ACTA1",63274.3207908517,-0.102168053104351,0.191642187369485,-0.533118800754302,0.593951345369589,0.717836707491706
"ACTA2",8391.96142757856,-0.206215350039346,0.114328448710504,-1.8037098584405,0.0712768032651017,0.149912495182617
"ACTA2-AS1",13.6644417083506,-0.262018050947296,0.38589617693744,-0.678985868755505,0.497146815777517,0.635036428288044
