"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",157.481629855583,0.0927502884136849,0.214686311122542,0.432027025517911,0.665721771123454,0.819390106075541
"A1BG-AS1",245.469582654925,0.4668688265846,0.163621648002432,2.85334387157413,0.00432617801833712,0.0294877085486782
"A2M",9492.8463318852,-0.496461745849229,0.173701276939908,-2.85813526875211,0.00426138689685688,0.0291380438598693
"A2M-AS1",109.537782548741,0.718926743035524,0.258788696344888,2.77804538293051,0.0054686979553257,0.035023837954771
"A4GALT",2918.23173915606,0.0977315858238205,0.125708033161467,0.777449009151929,0.4368939072675,0.656208419595693
"AAAS",1054.60260192451,0.155117003171215,0.0872086750246384,1.77868776388806,0.0752909663658445,0.220992458333779
"AACS",1150.82649711132,0.413545981881188,0.0885245949168757,4.67153769265486,2.98953224460751e-06,8.60628918364825e-05
"AACSP1",23.2362175848125,1.32892091857618,0.521176788599558,2.54984670776895,0.0107770293637597,0.0571171073213487
"AADAC",13.2103122837452,-1.21576912535716,0.63898874843489,-1.90264559170252,0.057086805850066,0.184298361984668
"AADAT",139.67727659535,0.123123742106905,0.239434894905837,0.514226391918883,0.607093717869659,0.781572290630629
"AAGAB",1013.92012857952,0.203332641389886,0.111109854382107,1.83001447099935,0.0672477749828399,0.205537759079209
"AAK1",2279.09914560469,-0.0446367238302781,0.162209311658261,-0.27517978699224,0.78317811536211,0.889419441572488
"AAMDC",406.921660632948,0.573158424181361,0.164317371644682,3.48811825824935,0.000486432881367792,0.00566516740872282
"AAMP",1984.17053488485,0.103927424317147,0.134016524728278,0.775482161829389,0.438054802079686,0.657195590902638
"AAR2",1062.11709272683,0.041531156115064,0.114672459216011,0.362172019323585,0.717223487589581,0.853131892338735
"AARD",38.9378796812724,0.214136988284994,0.454376818425241,0.471276217451279,0.63744349682692,0.801098092054455
"AARS1",3100.33004923054,-0.0311508237095651,0.0774738214447295,-0.402081930756293,0.687623730343061,0.833470008584803
"AARS2",530.490279929474,0.0443117430050639,0.127256781115499,0.348207322365369,0.727684489038728,0.858352750519327
"AARSD1",496.089478955764,-0.0504696670359185,0.158630392363864,-0.318158874121373,0.750364426807568,0.871041902218438
"AASDH",228.586723954759,-0.21414810452011,0.157879715645223,-1.35640036875497,0.174971816014558,0.378833263212692
"AASDHPPT",1428.4243885444,0.127030935077195,0.13763303901653,0.922968322031589,0.356023713808825,0.584399163193415
"AASS",1163.7816920952,-0.0297869456071128,0.196077381784194,-0.151914235778081,0.879254580086536,0.943209244157239
"AATF",703.929786475546,-0.160333679643046,0.120353504277486,-1.3321895411818,0.182797912478232,0.389234643910298
"AATK",548.520954278672,0.183765897340113,0.209310073471474,0.877960120563229,0.37996536091519,0.606855671497504
"ABALON",41.3313257307145,-0.95796663310645,0.420682854768119,-2.27717061023198,0.0227760394436697,0.0981000182924271
"ABAT",1595.22530915075,0.010556548160545,0.173194842639685,0.0609518620742471,0.951397546228567,0.976904484104306
"ABCA1",705.181304994656,-0.994897023872033,0.177264555507439,-5.61249834195016,1.99426121626889e-08,1.09388687787014e-06
"ABCA11P",55.3585959307254,-0.172903296089022,0.314132418374997,-0.55041532161325,0.58203454212746,0.76455515740064
"ABCA13",27.3314654025789,0.551557848205509,0.406320714685105,1.35744457092955,0.174639994308573,0.378491863522058
"ABCA17P",13.3102008442164,-1.94379071058685,0.719862490123093,-2.70022502527458,0.00692925908312791,0.0418354017143847
"ABCA2",3375.93488843804,-0.190596368282929,0.165015329015463,-1.15502219957437,0.248081335725715,0.469946428325388
"ABCA3",1773.41490721469,-0.0927170070916053,0.131532126828237,-0.704900082796355,0.480872418640527,0.691997816380161
"ABCA5",341.245428387196,-0.0192448724580427,0.182751336137672,-0.105306329708829,0.916132740523321,0.961010864636794
"ABCA7",2039.0437617845,0.200047306046894,0.158252732818725,1.26410016739517,0.206194076556304,0.418648132083257
