"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",157.481629855583,-0.0812048265359228,0.126015270404859,0.408979313019499,0.614845489281371
"A1BG-AS1",245.469582654925,-0.0428936836602551,0.0990108904616219,0.616395883758166,0.778446232097008
"A2M",9492.8463318852,-0.0684672021842024,0.106821836850745,0.421595931739025,0.624787413188629
"A2M-AS1",109.537782548741,0.0383064317264865,0.135149015147492,0.700935729275028,0.833164290859141
"A4GALT",2918.23173915606,0.409970116440052,0.089805960859938,9.00858914772314e-07,1.89936337625072e-05
"AAAS",1054.60260192451,-0.191324400636969,0.0605926627902592,0.000883520241399715,0.00673246889929269
"AACS",1150.82649711132,-0.190651816046892,0.0620087391205953,0.00117089466083539,0.00849620344734838
"AACSP1",23.2362175848125,-0.183993417641488,0.267612815247763,0.0809781518060152,0.213292773175716
"AADAC",13.2103122837452,-0.174827869221434,0.274398610490504,0.0707247685089971,0.193498345784597
"AADAT",139.67727659535,-0.012369705650058,0.126784720324942,0.897358922330023,0.949760609526355
"AAGAB",1013.92012857952,0.0164598683466469,0.0722341160841832,0.816664422107805,0.903506991563271
"AAK1",2279.09914560469,0.0387830162395084,0.0997992414265186,0.651294873711231,0.80107897166992
"AAMDC",406.921660632948,-0.147341638993754,0.106620642907797,0.103103378670998,0.251603955235176
"AAMP",1984.17053488485,0.0211124931290465,0.0852686185472648,0.786580655183143,0.887936727240386
"AAR2",1062.11709272683,0.0980310572087397,0.0760529662959466,0.161230580942407,0.339343945229568
"AARD",38.9378796812724,0.542671715612396,0.312320285176021,0.00540584816897591,0.0285452124686032
"AARS1",3100.33004923054,0.0301435265200985,0.0527498757532808,0.58319428912023,0.754540458459802
"AARS2",530.490279929474,-0.0313661253383175,0.0814161378725486,0.671223253804256,0.814053946186578
"AARSD1",496.089478955764,0.0235916744754757,0.0963221505873767,0.779586124295346,0.88324124685306
"AASDH",228.586723954759,0.0548371463669512,0.0986256223039756,0.515314540544165,0.702946440096018
"AASDHPPT",1428.4243885444,0.129784922880144,0.0912915599431187,0.10921839222842,0.262037230160759
"AASS",1163.7816920952,0.162626401283116,0.127928477260188,0.11016348822217,0.263775609739018
"AATF",703.929786475546,-0.0347820658176026,0.0785010669763908,0.628464460726185,0.786508884388764
"AATK",548.520954278672,0.0472248232110222,0.120656735256334,0.628470860036975,0.786508884388764
"ABALON",41.3313257307145,-0.0522075399861758,0.169403750317887,0.557436291553814,0.736400952524216
"ABAT",1595.22530915075,0.0242695725948189,0.103801324224261,0.784946551784298,0.886759702852554
"ABCA1",705.181304994656,0.189267416642838,0.118924671614079,0.0530625863429713,0.157878360692572
"ABCA11P",55.3585959307254,0.171680715322452,0.181303710066162,0.134544097368777,0.301748415745248
"ABCA13",27.3314654025789,-0.0266163191694875,0.165055009275161,0.778179403273498,0.882281379337788
"ABCA17P",13.3102008442164,0.279873166727966,0.556135066787886,0.0136996771858647,0.0589082862591617
"ABCA2",3375.93488843804,-0.0524030101889216,0.101838138616959,0.54780110937183,0.729015957579516
